item|item_desc|class|subclass|department|creation_date|last_update_date
232|COMBO D18 + i12 BLANCO|OTROS|OTROS|||
233|COMBO D18 + i12 AZUL|OTROS|OTROS|||
234|HEINEKEN|AUDIFONOS||||
235|COMBO D18 + i12 ROJO|OTROS|OTROS|||
236|TACO DE BIRRIA EXTRA|AUDIFONOS||||
237|1-2 BUCHANANS |AUDIFONOS||||
238|DON PERIGNON|AUDIFONOS||||
239|SENCILLO CIHUTAN 12|AUDIFONOS||||
240|COMBO D18 + i13 NEGRO|OTROS|OTROS|||
241|COMBO D18 + i13 ROSADO|OTROS|OTROS|||
242|COMBO D18 + i13 BLANCO|OTROS|OTROS|||
243|COMBO D18 + i13 AZUL|OTROS|OTROS|||
244|CERVEZA STELLA|AUDIFONOS||||
245|COPA CHAMPAGNE|AUDIFONOS||||
246|EXTRA MIMOSA|AUDIFONOS|AUDIFONOS|||
247|CAFE CALIENTE|AUDIFONOS||||
248|1-2 BULLDOG|AUDIFONOS||||
249|SHOT DON JULIO 70|AUDIFONOS||||
250|COMBO D18 + F9 NEGRO|OTROS|OTROS|||
251|COMBO D18 + F9 ROSADO|OTROS|OTROS|||
252|COMBO D18 + F9 BLANCO|OTROS|OTROS|||
253|COMBO D18 + F9 AZUL|OTROS|OTROS|||
254|TRAGO DE CORTESIA PADRES|AUDIFONOS||||
255|CERVEZA BLUE MOON|AUDIFONOS||||
256|TARTAR DE ATUN|AUDIFONOS||||
257|TOSTADA DE PULPO Y CAMARON|AUDIFONOS||||
258|AGUACHILE DE RIB EYE |AUDIFONOS||||
259|CEVICHITO DE CAMARON|AUDIFONOS||||
260|COMBO D18 + X15 NEGRO|OTROS|OTROS|||
261|COMBO D18 + X15 ROSADO|OTROS|OTROS|||
262|COMBO D18 + X15 BLANCO|OTROS|OTROS|||
263|COMBO D18 + X15 AZUL|OTROS|OTROS|||
264|1-2PUERTO DE INDIAS |AUDIFONOS||||
265|HAPPY HOUR|AUDIFONOS||||
266|BARRA LIBRE|AUDIFONOS||||
267|SENCILLO GRAN MALO|AUDIFONOS||||
268|SAINT LOUIS|AUDIFONOS||||
269|MACALLAN 15|AUDIFONOS||||
270|COMBO W26+PRO + I12 NEGRO|OTROS|OTROS|||
271|COMBO W26+PRO + I12 ROSADO|OTROS|OTROS|||
272|COMBO W26+PRO + I12 BLANCO|OTROS|OTROS|||
273|COMBO W26+PRO + I12 AZUL|OTROS|OTROS|||
274|1-2 ESPOLON REPOSADO|AUDIFONOS||||
275|COMBO W26+PRO + I12 ROJO|OTROS|OTROS|||
276|BUCHANAN S 12|AUDIFONOS||||
277|BUCHANANS 12|AUDIFONOS||||
278|ZACAPA 23|AUDIFONOS||||
279|GREY GOOSE|AUDIFONOS||||
280|COMBO W26+PRO + I13 NEGRO|OTROS|OTROS|||
281|COMBO W26+PRO + I13 ROSADO|OTROS|OTROS|||
282|COMBO W26+PRO + I13 BLANCO|OTROS|OTROS|||
283|COMBO W26+PRO + I13 AZUL|OTROS|OTROS|||
284|SOPA DE TORTILLA|SMART WATCH|SMART WATCH|||
285|TORTA DE LENGUA |MENSAJES|MENSAJES|||
286|CRISTALERIA ROTA|AUDIFONOS||||
287|HAPPY HOUR|AUDIFONOS||||
288|1-2 CIHUATAN 8|AUDIFONOS||||
289|1-2 CIHUATAN 12|AUDIFONOS||||
290|COMBO W26+PRO + F9 NEGRO|OTROS|OTROS|||
291|COMBO W26+PRO + F9 ROSADO|OTROS|OTROS|||
292|COMBO W26+PRO + F9 BLANCO|OTROS|OTROS|||
293|COMBO W26+PRO + F9 AZUL|OTROS|OTROS|||
294|BELAIRE LUXE|AUDIFONOS||||
295|EXTRA VEGETALES|AUDIFONOS||||
296|SENCILLO ESPADIN |AUDIFONOS||||
297|VASO QUEBRADO|AUDIFONOS||||
298|HAPPY HOUR|AUDIFONOS||||
299||AUDIFONOS|AUDIFONOS|||
300|COMBO W26+PRO + X15 NEGRO|OTROS|OTROS|||
301|COMBO W26+PRO + X15 ROSADO|OTROS|OTROS|||
302|COMBO W26+PRO + X15 BLANCO|OTROS|OTROS|||
303|COMBO W26+PRO + X15 AZUL|OTROS|OTROS|||
304||AUDIFONOS|AUDIFONOS|||
305||AUDIFONOS|AUDIFONOS|||
306||AUDIFONOS|AUDIFONOS|||
307||AUDIFONOS|AUDIFONOS|||
308||AUDIFONOS|AUDIFONOS|||
309||AUDIFONOS|AUDIFONOS|||
310|DESCUENTO|OTROS|OTROS|||
311||AUDIFONOS|AUDIFONOS|||
312||AUDIFONOS|AUDIFONOS|||
313||AUDIFONOS|AUDIFONOS|||
314||AUDIFONOS|AUDIFONOS|||
315||AUDIFONOS|AUDIFONOS|||
316||AUDIFONOS|AUDIFONOS|||
317||AUDIFONOS|AUDIFONOS|||
318||AUDIFONOS|AUDIFONOS|||
319||AUDIFONOS|AUDIFONOS|||
320|COMBO T500+PRO + I12 NEGRO|OTROS|OTROS|||
321|COMBO T500+PRO + I12 ROSADO|OTROS|OTROS|||
322|COMBO T500+PRO + I12 BLANCO|OTROS|OTROS|||
323|COMBO T500+PRO + I12 AZUL|OTROS|OTROS|||
324||AUDIFONOS|AUDIFONOS|||
325||AUDIFONOS|AUDIFONOS|||
326||AUDIFONOS|AUDIFONOS|||
327||AUDIFONOS|AUDIFONOS|||
328||AUDIFONOS|AUDIFONOS|||
329||AUDIFONOS|AUDIFONOS|||
330|COMBO T500+PRO + I13 NEGRO|OTROS|OTROS|||
331|COMBO T500+PRO + I13 ROSADO|OTROS|OTROS|||
332|COMBO T500+PRO + I13 BLANCO|OTROS|OTROS|||
333|COMBO T500+PRO + I13 AZUL|OTROS|OTROS|||
334||AUDIFONOS|AUDIFONOS|||
335||AUDIFONOS|AUDIFONOS|||
336||AUDIFONOS|AUDIFONOS|||
337||AUDIFONOS|AUDIFONOS|||
338||AUDIFONOS|AUDIFONOS|||
339||AUDIFONOS|AUDIFONOS|||
340|COMBO W37 + I12 NEGRO|OTROS|OTROS|||
341|COMBO W37 + I12 ROSADO|OTROS|OTROS|||
342|COMBO W37 + I12 BLANCO|OTROS|OTROS|||
343||AUDIFONOS|AUDIFONOS|||
344||AUDIFONOS|AUDIFONOS|||
345||AUDIFONOS|AUDIFONOS|||
346||AUDIFONOS|AUDIFONOS|||
347||AUDIFONOS|AUDIFONOS|||
348||AUDIFONOS|AUDIFONOS|||
349||AUDIFONOS|AUDIFONOS|||
350|COMBO W37 + I13 NEGRO|OTROS|OTROS|||
351|COMBO W37 + I13 ROSADO|OTROS|OTROS|||
352|COMBO W37 + I13 BLANCO|OTROS|OTROS|||
353||AUDIFONOS|AUDIFONOS|||
354||AUDIFONOS|AUDIFONOS|||
355||AUDIFONOS|AUDIFONOS|||
356||AUDIFONOS|AUDIFONOS|||
357||AUDIFONOS|AUDIFONOS|||
358||AUDIFONOS|AUDIFONOS|||
359||AUDIFONOS|AUDIFONOS|||
360|COMBO N76 + I12 NEGRO|OTROS|OTROS|||
361|COMBO N76 + I12 ROSADO|OTROS|OTROS|||
362|COMBO N76 + I12 BLANCO|OTROS|OTROS|||
363||AUDIFONOS|AUDIFONOS|||
364||AUDIFONOS|AUDIFONOS|||
365||AUDIFONOS|AUDIFONOS|||
366||AUDIFONOS|AUDIFONOS|||
367||AUDIFONOS|AUDIFONOS|||
368||AUDIFONOS|AUDIFONOS|||
369||AUDIFONOS|AUDIFONOS|||
370|COMBO N76 + I13 NEGRO|OTROS|OTROS|||
371|COMBO N76 + I13 ROSADO|OTROS|OTROS|||
372|COMBO N76 + I13 BLANCO|OTROS|OTROS|||
373||AUDIFONOS|AUDIFONOS|||
374||AUDIFONOS|AUDIFONOS|||
375||AUDIFONOS|AUDIFONOS|||
376||AUDIFONOS|AUDIFONOS|||
377||AUDIFONOS|AUDIFONOS|||
378||AUDIFONOS|AUDIFONOS|||
379||AUDIFONOS|AUDIFONOS|||
380|AIR PRO 3|AUDIFONOS|AUDIFONOS|||
381||AUDIFONOS|AUDIFONOS|||
382||AUDIFONOS|AUDIFONOS|||
383||AUDIFONOS|AUDIFONOS|||
384||AUDIFONOS|AUDIFONOS|||
385||AUDIFONOS|AUDIFONOS|||
386||AUDIFONOS|AUDIFONOS|||
387||AUDIFONOS|AUDIFONOS|||
388||AUDIFONOS|AUDIFONOS|||
389||AUDIFONOS|AUDIFONOS|||
390|VARIOS|OTROS|OTROS|||
391||AUDIFONOS|AUDIFONOS|||
392||AUDIFONOS|AUDIFONOS|||
393||AUDIFONOS|AUDIFONOS|||
394||AUDIFONOS|AUDIFONOS|||
395||AUDIFONOS|AUDIFONOS|||
396||AUDIFONOS|AUDIFONOS|||
397||AUDIFONOS|AUDIFONOS|||
398||AUDIFONOS|AUDIFONOS|||
399||AUDIFONOS|AUDIFONOS|||
400||AUDIFONOS|AUDIFONOS|||
401||AUDIFONOS|AUDIFONOS|||
402||AUDIFONOS|AUDIFONOS|||
403||AUDIFONOS|AUDIFONOS|||
404||AUDIFONOS|AUDIFONOS|||
405||AUDIFONOS|AUDIFONOS|||
406||AUDIFONOS|AUDIFONOS|||
407||AUDIFONOS|AUDIFONOS|||
408||AUDIFONOS|AUDIFONOS|||
409||AUDIFONOS|AUDIFONOS|||
410||AUDIFONOS|AUDIFONOS|||
411||AUDIFONOS|AUDIFONOS|||
412||AUDIFONOS|AUDIFONOS|||
413||AUDIFONOS|AUDIFONOS|||
414||AUDIFONOS|AUDIFONOS|||
415||AUDIFONOS|AUDIFONOS|||
416||AUDIFONOS|AUDIFONOS|||
417||AUDIFONOS|AUDIFONOS|||
418||AUDIFONOS|AUDIFONOS|||
419||AUDIFONOS|AUDIFONOS|||
420||AUDIFONOS|AUDIFONOS|||
421||AUDIFONOS|AUDIFONOS|||
422||AUDIFONOS|AUDIFONOS|||
423||AUDIFONOS|AUDIFONOS|||
424||AUDIFONOS|AUDIFONOS|||
425||AUDIFONOS|AUDIFONOS|||
426||AUDIFONOS|AUDIFONOS|||
427||AUDIFONOS|AUDIFONOS|||
428||AUDIFONOS|AUDIFONOS|||
429||AUDIFONOS|AUDIFONOS|||
430||AUDIFONOS|AUDIFONOS|||
431||AUDIFONOS|AUDIFONOS|||
432||AUDIFONOS|AUDIFONOS|||
433||AUDIFONOS|AUDIFONOS|||
434||AUDIFONOS|AUDIFONOS|||
435||AUDIFONOS|AUDIFONOS|||
436||AUDIFONOS|AUDIFONOS|||
437||AUDIFONOS|AUDIFONOS|||
438||AUDIFONOS|AUDIFONOS|||
439||AUDIFONOS|AUDIFONOS|||
440||AUDIFONOS|AUDIFONOS|||
441||AUDIFONOS|AUDIFONOS|||
442||AUDIFONOS|AUDIFONOS|||
443||AUDIFONOS|AUDIFONOS|||
444||AUDIFONOS|AUDIFONOS|||
445||AUDIFONOS|AUDIFONOS|||
446||AUDIFONOS|AUDIFONOS|||
447||AUDIFONOS|AUDIFONOS|||
448||AUDIFONOS|AUDIFONOS|||
449||AUDIFONOS|AUDIFONOS|||
450||AUDIFONOS|AUDIFONOS|||
451||AUDIFONOS|AUDIFONOS|||
452||AUDIFONOS|AUDIFONOS|||
453||AUDIFONOS|AUDIFONOS|||
454||AUDIFONOS|AUDIFONOS|||
455||AUDIFONOS|AUDIFONOS|||
456||AUDIFONOS|AUDIFONOS|||
457||AUDIFONOS|AUDIFONOS|||
458||AUDIFONOS|AUDIFONOS|||
459||AUDIFONOS|AUDIFONOS|||
460||AUDIFONOS|AUDIFONOS|||
461||AUDIFONOS|AUDIFONOS|||
462||AUDIFONOS|AUDIFONOS|||
463||AUDIFONOS|AUDIFONOS|||
464||AUDIFONOS|AUDIFONOS|||
465||AUDIFONOS|AUDIFONOS|||
466||AUDIFONOS|AUDIFONOS|||
467||AUDIFONOS|AUDIFONOS|||
468||AUDIFONOS|AUDIFONOS|||
469||AUDIFONOS|AUDIFONOS|||
470||AUDIFONOS|AUDIFONOS|||
471||AUDIFONOS|AUDIFONOS|||
472||AUDIFONOS|AUDIFONOS|||
473||AUDIFONOS|AUDIFONOS|||
474||AUDIFONOS|AUDIFONOS|||
475||AUDIFONOS|AUDIFONOS|||
476||AUDIFONOS|AUDIFONOS|||
477||AUDIFONOS|AUDIFONOS|||
478||AUDIFONOS|AUDIFONOS|||
479||AUDIFONOS|AUDIFONOS|||
480||AUDIFONOS|AUDIFONOS|||
481||AUDIFONOS|AUDIFONOS|||
482||AUDIFONOS|AUDIFONOS|||
483||AUDIFONOS|AUDIFONOS|||
484||AUDIFONOS|AUDIFONOS|||
485||AUDIFONOS|AUDIFONOS|||
486||AUDIFONOS|AUDIFONOS|||
487||AUDIFONOS|AUDIFONOS|||
488||AUDIFONOS|AUDIFONOS|||
489||AUDIFONOS|AUDIFONOS|||
490||AUDIFONOS|AUDIFONOS|||
491||AUDIFONOS|AUDIFONOS|||
492||AUDIFONOS|AUDIFONOS|||
493||AUDIFONOS|AUDIFONOS|||
494||AUDIFONOS|AUDIFONOS|||
495||AUDIFONOS|AUDIFONOS|||
496||AUDIFONOS|AUDIFONOS|||
497||AUDIFONOS|AUDIFONOS|||
498||AUDIFONOS|AUDIFONOS|||
499||AUDIFONOS|AUDIFONOS|||
500||AUDIFONOS|AUDIFONOS|||
501||AUDIFONOS|AUDIFONOS|||
502||AUDIFONOS|AUDIFONOS|||
503||AUDIFONOS|AUDIFONOS|||
504||AUDIFONOS|AUDIFONOS|||
505||AUDIFONOS|AUDIFONOS|||
506||AUDIFONOS|AUDIFONOS|||
507||AUDIFONOS|AUDIFONOS|||
508||AUDIFONOS|AUDIFONOS|||
509||AUDIFONOS|AUDIFONOS|||
510||AUDIFONOS|AUDIFONOS|||
511||AUDIFONOS|AUDIFONOS|||
512||AUDIFONOS|AUDIFONOS|||
513||AUDIFONOS|AUDIFONOS|||
514||AUDIFONOS|AUDIFONOS|||
515||AUDIFONOS|AUDIFONOS|||
516||AUDIFONOS|AUDIFONOS|||
517||AUDIFONOS|AUDIFONOS|||
518||AUDIFONOS|AUDIFONOS|||
519||AUDIFONOS|AUDIFONOS|||
520||AUDIFONOS|AUDIFONOS|||
521||AUDIFONOS|AUDIFONOS|||
522||AUDIFONOS|AUDIFONOS|||
523||AUDIFONOS|AUDIFONOS|||
524||AUDIFONOS|AUDIFONOS|||
525||AUDIFONOS|AUDIFONOS|||
526||AUDIFONOS|AUDIFONOS|||
527||AUDIFONOS|AUDIFONOS|||
528||AUDIFONOS|AUDIFONOS|||
